model_id,dataset,transition,field,variant,paired_documents,dropout_events,idr,idr_ci_low,idr_ci_high
mistral_7b_instruct_v03,SciERC,P1->P2,Material,inclusive,100,13,0.13,0.07,0.2
mistral_7b_instruct_v03,SciERC,P1->P2,Method,valid_only,46,7,0.15217391304347827,0.06521739130434782,0.2608695652173913
mistral_7b_instruct_v03,SciERC,P1->P2,Method,inclusive,100,21,0.21,0.13,0.29
mistral_7b_instruct_v03,SciERC,P1->P2,Metric,valid_only,46,4,0.08695652173913043,0.021739130434782608,0.17391304347826086
mistral_7b_instruct_v03,SciERC,P1->P2,Metric,inclusive,100,11,0.11,0.05,0.18
mistral_7b_instruct_v03,SciERC,P1->P2,OtherScientificTerm,valid_only,46,0,0.0,0.0,0.0
mistral_7b_instruct_v03,SciERC,P1->P2,OtherScientificTerm,inclusive,100,15,0.15,0.08,0.22
mistral_7b_instruct_v03,SciERC,P1->P2,Task,valid_only,46,9,0.1956521739130435,0.08695652173913043,0.32608695652173914
mistral_7b_instruct_v03,SciERC,P1->P2,Task,inclusive,100,22,0.22,0.14,0.31
mistral_7b_instruct_v03,SciERC,P1->P2,__ANY_FIELD__,valid_only,46,21,0.45652173913043476,0.32608695652173914,0.6086956521739131
mistral_7b_instruct_v03,SciERC,P1->P2,__ANY_FIELD__,inclusive,100,37,0.37,0.27,0.47
mistral_7b_instruct_v03,SciERC,P2->P3,Generic,valid_only,42,8,0.19047619047619047,0.07142857142857142,0.30952380952380953
mistral_7b_instruct_v03,SciERC,P2->P3,Generic,inclusive,100,21,0.21,0.13,0.29
mistral_7b_instruct_v03,SciERC,P2->P3,Material,valid_only,42,4,0.09523809523809523,0.023809523809523808,0.19047619047619047
mistral_7b_instruct_v03,SciERC,P2->P3,Material,inclusive,100,13,0.13,0.07,0.2
